time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-30T22:51:44.470Z,36.374,71.126,123.4,4.6,mb,29,,,0.82,us,usp000a6yr,2014-11-07T01:11:47.553Z,"50 km SW of Ashk?sham, Afghanistan",earthquake,,8.8,,7,reviewed,us,us
2000-12-30T22:41:25.570Z,-5.47,152.303,33,4.1,mb,12,,,1.16,us,usp000a6yq,2014-11-07T01:11:47.551Z,"124 km S of Kokopo, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-30T20:27:20.890Z,-5.412,152.377,33,4.3,mb,18,,,1.24,us,usp000a6yh,2014-11-07T01:11:47.538Z,"118 km S of Kokopo, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2000-12-30T19:42:52.710Z,24.317,122.974,55.6,5.1,mb,96,,,1,us,usp000a6yd,2014-11-07T01:11:47.523Z,"16 km S of Yonakuni, Japan",earthquake,,,,37,reviewed,us,us
2000-12-30T18:32:44.780Z,11.85,144.666,33,4.4,mb,19,,,1.15,us,usp000a6yb,2014-11-07T01:11:47.520Z,"156 km S of Merizo Village, Guam",earthquake,,,,2,reviewed,us,us
2000-12-30T17:49:27.560Z,13.308,49.541,33,4.4,mb,23,,,0.98,us,usp000a6y8,2014-11-07T01:11:47.513Z,"143 km SSE of Mukalla, Yemen",earthquake,,,,3,reviewed,us,us
2000-12-30T16:17:55.920Z,38.529,133.826,455.9,,,9,,,0.47,us,usp000a6y4,2014-11-07T01:11:47.505Z,"Sea of Japan",earthquake,,9,,,reviewed,us,us
2000-12-30T15:07:08.270Z,39.669,54.81,10,4.9,mb,149,,,1.04,us,usp000a6xz,2022-04-29T19:02:49.183Z,"41 km ENE of Balkanabat, Turkmenistan",earthquake,,,,66,reviewed,us,us
2000-12-30T11:47:19.920Z,51.525,159.333,47.9,4.8,mb,63,,,1.21,us,usp000a6xq,2014-11-07T01:11:47.457Z,"168 km SSE of Vilyuchinsk, Russia",earthquake,,,,20,reviewed,us,us
2000-12-30T11:32:49.730Z,39.278,28.094,27.4,3.1,md,10,,,,us,usp000a6xp,2014-11-07T01:11:47.455Z,"8 km WNW of S?nd?rg?, Turkey",earthquake,,,,,reviewed,isk,isk
2000-12-30T10:44:13.350Z,-6.967,129.69,133.1,5.2,mwc,76,,,0.8,us,usp000a6xk,2016-11-10T00:19:27.134Z,"Banda Sea",earthquake,,3.8,,,reviewed,us,hrv
2000-12-30T09:43:28.230Z,21.862,122.994,33,4.6,mb,20,,,1.38,us,usp000a6xh,2014-11-07T01:11:47.441Z,"Taiwan region",earthquake,,,,11,reviewed,us,us
2000-12-30T06:18:54.440Z,-6.944,150.106,33,4.1,mb,7,,,1.03,us,usp000a6xc,2014-11-07T01:11:47.411Z,"102 km SE of Kandrian, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-30T01:09:57.380Z,30.594,141.083,33,3.8,mb,9,,,1.09,us,usp000a6x5,2014-11-07T01:11:47.397Z,"Izu Islands, Japan region",earthquake,,,,2,reviewed,us,us
2000-12-30T00:42:51.430Z,37.614,69.461,33,3.7,mb,14,,,0.92,us,usp000a6x4,2014-11-07T01:11:47.395Z,"14 km NNE of Farkhor, Tajikistan",earthquake,,,,3,reviewed,us,us
2000-12-30T00:12:49.080Z,34.895,31.952,20,2.4,ml,5,,,,us,usp000a6x3,2014-11-07T01:11:47.394Z,"39 km W of Pégeia, Cyprus",earthquake,,,,,reviewed,css,css
2000-12-29T18:41:11.410Z,29.924,68.152,33,,,10,,,1.15,us,usp000a6wp,2014-11-07T01:11:47.346Z,"28 km SE of Harnai, Pakistan",earthquake,,,,,reviewed,us,us
2000-12-29T18:03:31.130Z,24.386,121.858,33,4.9,mb,80,,,1.21,us,usp000a6wm,2014-11-07T01:11:47.337Z,"42 km SSE of Yilan, Taiwan",earthquake,,,,26,reviewed,us,us
2000-12-29T17:56:45.120Z,29.613,68.659,33,3.9,mb,7,,,1.25,us,usp000a6wj,2014-11-07T01:11:47.334Z,"60 km S of Duki, Pakistan",earthquake,,,,2,reviewed,us,us
2000-12-29T15:21:04.850Z,-5.444,152.576,33,4,mb,8,,,1.53,us,usp000a6w8,2014-11-07T01:11:47.314Z,"126 km SSE of Kokopo, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-29T13:47:38.670Z,1.739,126.444,33,5.1,mwc,48,,,0.98,us,usp000a6w5,2022-04-29T19:02:46.840Z,"148 km NW of Ternate, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-29T13:21:19.780Z,-4.314,152.896,33,4.3,mb,18,,,1.17,us,usp000a6w4,2014-11-07T01:11:47.301Z,"69 km E of Kokopo, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-29T12:35:45.410Z,37.653,69.612,62.8,4.3,mb,17,,,1.01,us,usp000a6w3,2014-11-07T01:11:47.299Z,"9 km WNW of Chubek, Tajikistan",earthquake,,15.9,,3,reviewed,us,us
2000-12-29T12:11:00.900Z,1.404,127.049,33,4.7,mb,19,,,1.09,us,usp000a6w1,2014-11-07T01:11:47.295Z,"77 km NNW of Ternate, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-29T12:02:49.360Z,-5.593,153.289,33,4.2,mb,15,,,1.4,us,usp000a6vz,2014-11-07T01:11:47.292Z,"178 km SE of Kokopo, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2000-12-29T10:43:00.140Z,-4.243,152.742,33,5.3,mwc,98,,,0.93,us,usp000a6vw,2022-04-29T19:02:45.608Z,"53 km ENE of Kokopo, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-29T05:13:12.000Z,-5.023,153.412,33,4.7,mb,15,,,1.49,us,usp000a6vq,2014-11-07T01:11:47.260Z,"147 km ESE of Kokopo, Papua New Guinea",earthquake,,,,5,reviewed,us,us
2000-12-29T04:08:22.110Z,39.364,53.891,33,4.2,mb,22,,,1.05,us,usp000a6vp,2014-11-07T01:11:47.258Z,"44 km WSW of Balkanabat, Turkmenistan",earthquake,,,,5,reviewed,us,us
2000-12-29T02:13:50.480Z,40.41,54.42,33,3.8,mb,9,,,0.78,us,usp000a6vj,2014-11-07T01:11:47.243Z,"99 km N of Balkanabat, Turkmenistan",earthquake,,,,1,reviewed,us,us
2000-12-29T01:34:11.380Z,-3.465,101.639,33,4.5,mb,18,,,0.51,us,usp000a6vg,2014-11-07T01:11:47.237Z,"78 km WNW of Bengkulu, Indonesia",earthquake,,,,4,reviewed,us,us
2000-12-29T00:42:55.770Z,-0.521,119.947,33,4.5,mb,13,,,1.03,us,usp000a6vd,2014-11-07T01:11:47.232Z,"43 km N of Palu, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-28T22:09:36.050Z,-5.558,151.05,83.1,4.5,mb,10,,,0.71,us,usp000a6v5,2014-11-07T01:11:47.207Z,"101 km E of Kimbe, Papua New Guinea",earthquake,,10.6,,1,reviewed,us,us
2000-12-28T22:00:51.160Z,-5.71,154.41,93.8,5.1,mwc,74,,,0.87,us,usp000a6v4,2016-11-10T00:18:23.918Z,"136 km WNW of Panguna, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-28T21:27:05.400Z,28.16,51.349,71.4,4.4,mb,34,,,0.85,us,usp000a6v3,2014-11-07T01:11:47.073Z,"102 km SSE of Bushehr, Iran",earthquake,,14,,12,reviewed,us,us
2000-12-28T21:06:54.110Z,-0.46,119.917,33,5.4,mwc,46,,,0.87,us,usp000a6v2,2022-04-29T19:02:44.319Z,"49 km N of Palu, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-28T18:54:36.660Z,-4.864,102.599,33,5.4,mwc,79,,,0.91,us,usp000a6ux,2016-11-10T00:18:22.641Z,"117 km SW of Pagar Alam, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-28T18:35:20.070Z,-8.163,117.91,33,4.7,mb,19,,,1.03,us,usp000a6uv,2014-11-07T01:11:47.015Z,"54 km ENE of Pototano, Indonesia",earthquake,,,,10,reviewed,us,us
2000-12-28T16:05:26.880Z,-8.138,117.94,33,5.2,mb,51,,,1.25,us,usp000a6ur,2014-11-07T01:11:46.987Z,"58 km ENE of Pototano, Indonesia",earthquake,,,,18,reviewed,us,us
2000-12-28T15:55:47.460Z,26.123,142.297,33,3.5,mb,9,,,1.24,us,usp000a6uq,2014-11-07T01:11:46.986Z,"Bonin Islands, Japan region",earthquake,,,,1,reviewed,us,us
2000-12-28T14:57:30.350Z,35.746,30.948,25,3.3,ml,5,,,,us,usp000a6up,2014-11-07T01:11:46.985Z,"86 km SE of Beykonak, Turkey",earthquake,,,,,reviewed,css,css
2000-12-28T14:53:20.700Z,39.764,141.395,100,,,7,,,0.91,us,usp000a6un,2014-11-07T01:11:46.984Z,"22 km ENE of Morioka, Japan",earthquake,,,,,reviewed,us,us
2000-12-28T13:20:06.650Z,18.968,144.731,33,4.6,mb,25,,,1.27,us,usp000a6uk,2014-11-07T01:11:46.977Z,"Pagan region, Northern Mariana Islands",earthquake,,,,8,reviewed,us,us
2000-12-28T10:30:58.810Z,30.666,96.667,33,4,mb,8,,,1.22,us,usp000a6ud,2014-11-07T01:11:46.962Z,"71 km SW of Qamdo, China",earthquake,,,,3,reviewed,us,us
2000-12-28T09:01:28.580Z,23.424,122.041,33,4.7,mb,42,,,1.31,us,usp000a6ua,2014-11-07T01:11:46.944Z,"75 km SE of Hualien City, Taiwan",earthquake,,,,16,reviewed,us,us
2000-12-28T07:54:47.320Z,43.175,147.77,68.4,4.4,mb,26,,,1.28,us,usp000a6u6,2014-11-07T01:11:46.935Z,"109 km SE of Shikotan, Russia",earthquake,,15.8,,7,reviewed,us,us
2000-12-28T07:17:56.930Z,-8.836,123.936,150,4.7,mb,23,,,0.95,us,usp000a6u5,2014-11-07T01:11:46.932Z,"63 km NW of Pante Makasar, Timor Leste",earthquake,,,,9,reviewed,us,us
2000-12-28T05:24:53.430Z,34.2,139.108,33,4.6,mb,18,,,1.19,us,usp000a6u1,2014-11-07T01:11:46.925Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2000-12-28T05:16:16.250Z,39.165,111.397,33,3.6,ml,9,,,1.4,us,usp000a6u0,2014-11-07T01:11:46.924Z,"128 km WNW of Yuanping, China",earthquake,,,,,reviewed,us,bji
2000-12-28T04:34:28.450Z,-4.05,152.307,33,6.2,mwc,170,,,0.98,us,usp000a6ty,2022-04-29T19:02:43.076Z,"23 km NE of Rabaul, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-28T04:25:12.150Z,34.045,139.16,33,4,mb,11,,,1,us,usp000a6tx,2014-11-07T01:11:46.898Z,"72 km SSE of Shimoda, Japan",earthquake,,,,2,reviewed,us,us
2000-12-28T04:21:06.600Z,49.242,148.233,518.9,3.8,mb,27,,,0.93,us,usp000a6tw,2014-11-07T01:11:46.895Z,"northwest of the Kuril Islands",earthquake,,11.9,,3,reviewed,us,us
2000-12-28T00:17:08.640Z,45.686,26.675,135.1,,,10,,,0.49,us,usp000a6tn,2014-11-07T01:11:46.876Z,"2 km SW of Nereju Mic, Romania",earthquake,,31.9,,,reviewed,us,us
2000-12-27T17:43:20.810Z,-5.245,151.737,45.5,4.3,mb,24,,,1.15,us,usp000a6td,2014-11-07T01:11:46.858Z,"115 km SSW of Kokopo, Papua New Guinea",earthquake,,,,5,reviewed,us,us
2000-12-27T17:01:48.730Z,11.485,125.821,33,4.4,mb,18,,,0.9,us,usp000a6tc,2014-11-07T01:11:46.856Z,"28 km NE of Hernani, Philippines",earthquake,,,,5,reviewed,us,us
2000-12-27T16:44:40.480Z,36.562,71.299,223.9,4,mb,16,,,0.69,us,usp000a6tb,2014-11-07T01:11:46.854Z,"24 km WSW of Ashk?sham, Afghanistan",earthquake,,,,4,reviewed,us,us
2000-12-27T16:41:04.080Z,39.149,75.272,74.5,3.9,mb,15,,,1.25,us,usp000a6ta,2014-11-07T01:11:46.852Z,"71 km WSW of Kashgar, China",earthquake,,12.2,,4,reviewed,us,us
2000-12-27T15:35:30.760Z,17.089,147.356,33,4.3,mb,25,,,0.99,us,usp000a6t8,2014-11-07T01:11:46.845Z,"269 km NE of Saipan, Northern Mariana Islands",earthquake,,,,9,reviewed,us,us
2000-12-27T10:14:03.150Z,32.087,138.642,320.6,,,10,,,0.45,us,usp000a6sy,2014-11-07T01:11:46.815Z,"281 km S of ?yama, Japan",earthquake,,10.1,,,reviewed,us,us
2000-12-27T09:11:11.150Z,38.462,69.584,33,3.3,mb,8,,,1.18,us,usp000a6sw,2014-11-07T01:11:46.811Z,"24 km ENE of Norak, Tajikistan",earthquake,,,,1,reviewed,us,us
2000-12-27T09:07:10.630Z,-3.803,101.871,33,4.8,mb,42,,,0.99,us,usp000a6sv,2014-11-07T01:11:46.807Z,"43 km W of Bengkulu, Indonesia",earthquake,,,,6,reviewed,us,us
2000-12-27T07:57:55.240Z,17.929,147.13,33,4.7,mb,60,,,0.76,us,usp000a6st,2014-11-07T01:11:46.799Z,"Mariana Islands region",earthquake,,,,17,reviewed,us,us
2000-12-27T07:26:31.630Z,-4.228,152.73,33,5.8,mwc,256,,,0.82,us,usp000a6ss,2022-04-29T19:02:41.635Z,"52 km ENE of Kokopo, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-27T07:03:47.820Z,-9.33,154.593,33,5.9,mwb,68,,,1,us,usp000a6sr,2022-04-29T19:02:35.345Z,"282 km WSW of Gizo, Solomon Islands",earthquake,,,,,reviewed,us,us
2000-12-27T06:56:24.460Z,-4.862,152.607,66.2,4.5,mb,20,,,1.14,us,usp000a6sq,2014-11-07T01:11:46.760Z,"68 km SSE of Kokopo, Papua New Guinea",earthquake,,11.7,,6,reviewed,us,us
2000-12-27T06:20:25.700Z,-8.146,158.827,33,4.3,mb,11,,,1.03,us,usp000a6sm,2014-11-07T01:11:46.753Z,"84 km W of Buala, Solomon Islands",earthquake,,,,2,reviewed,us,us
2000-12-27T05:22:36.870Z,35.984,70.535,91,4.2,mb,14,,,0.72,us,usp000a6sj,2014-11-07T01:11:46.750Z,"71 km NNW of P?r?n, Afghanistan",earthquake,,18.4,,3,reviewed,us,us
2000-12-27T02:31:34.990Z,-7.27,121.171,541.5,4.5,mb,34,,,1.04,us,usp000a6sg,2014-11-07T01:11:46.744Z,"167 km NNE of Ruteng, Indonesia",earthquake,,8.7,,8,reviewed,us,us
2000-12-26T22:12:47.090Z,44.557,148.173,33,4.8,mb,76,,,0.88,us,usp000a6sc,2014-11-07T01:11:46.729Z,"78 km SSE of Kuril’sk, Russia",earthquake,,,,37,reviewed,us,us
2000-12-26T21:08:27.230Z,32.268,137.701,391,3.9,mb,21,,,0.94,us,usp000a6s8,2014-11-07T01:11:46.720Z,"228 km SE of Shing?, Japan",earthquake,,8.2,,5,reviewed,us,us
2000-12-26T17:43:19.530Z,37.186,104.054,33,4.2,mb,19,,,1.34,us,usp000a6s1,2014-11-07T01:11:46.510Z,"71 km N of Baiyin, China",earthquake,,,,3,reviewed,us,us
2000-12-26T15:52:41.300Z,43.264,143.992,100,4.1,mb,13,,,0.69,us,usp000a6rz,2014-11-07T01:11:46.506Z,"44 km NW of Kushiro, Japan",earthquake,,,,2,reviewed,us,us
2000-12-26T15:48:40.250Z,-4.26,102.148,33,4.5,mb,19,,,1.21,us,usp000a6ry,2014-11-07T01:11:46.504Z,"52 km SSW of Bengkulu, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-26T14:20:24.970Z,34.535,32.127,25,2.5,ml,5,,,,us,usp000a6rw,2014-11-07T01:11:46.486Z,"38 km SW of Paphos, Cyprus",earthquake,,,,,reviewed,css,css
2000-12-26T11:45:02.560Z,34.688,32.369,65.6,,,10,,,0.46,us,usp000a6rt,2014-11-07T01:11:46.480Z,"10 km SW of Geroskipou, Cyprus",earthquake,,6.3,,,reviewed,us,us
2000-12-26T10:22:13.280Z,48.595,92.772,10,4.5,mb,32,,,1.01,us,usp000a6rp,2014-11-07T01:11:46.470Z,"106 km NE of Khovd, Mongolia",earthquake,,,,7,reviewed,us,us
2000-12-26T07:09:02.700Z,1.796,120.303,33,4.7,mb,16,,,0.82,us,usp000a6rk,2014-11-07T01:11:46.462Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,5,reviewed,us,us
2000-12-26T06:41:19.330Z,28.452,56.186,33,4.2,mb,15,,,0.73,us,usp000a6rj,2014-11-07T01:11:46.460Z,"109 km SSW of K?h Sef?d, Iran",earthquake,,,,5,reviewed,us,us
2000-12-26T06:28:24.030Z,9.929,126.177,33,4.4,mb,12,,,0.86,us,usp000a6rh,2014-11-07T01:11:46.458Z,"11 km NE of Pilar, Philippines",earthquake,,,,2,reviewed,us,us
2000-12-26T06:12:46.120Z,2.644,97.766,100,4.7,mb,22,,,0.59,us,usp000a6rg,2014-11-07T01:11:46.456Z,"39 km N of Singkil, Indonesia",earthquake,,,,5,reviewed,us,us
2000-12-26T05:37:34.680Z,32.538,76.894,33,3.9,mb,8,,,0.86,us,usp000a6rd,2014-11-07T01:11:46.443Z,"12 km WSW of Kyelang, India",earthquake,,,,1,reviewed,us,us
2000-12-26T04:58:42.930Z,35.527,76.298,33,,,9,,,1.43,us,usp000a6rb,2014-11-07T01:11:46.441Z,"65 km ENE of Skardu, Pakistan",earthquake,,,,,reviewed,us,us
2000-12-26T03:25:43.540Z,21.367,122.359,100,3.8,mb,12,,,1.02,us,usp000a6r8,2014-11-07T01:11:46.434Z,"109 km NNE of Basco, Philippines",earthquake,,,,2,reviewed,us,us
2000-12-26T03:21:00.460Z,20.968,122.059,170.4,5,mb,114,,,0.84,us,usp000a6r7,2014-11-07T01:11:46.426Z,"58 km N of Basco, Philippines",earthquake,,,,49,reviewed,us,us
2000-12-25T22:53:19.890Z,-4.355,153.109,33,,,5,,,1.33,us,usp000a6r3,2014-11-07T01:11:46.417Z,"93 km E of Kokopo, Papua New Guinea",earthquake,,,,,reviewed,us,us
2000-12-25T21:02:28.890Z,-6.656,153.647,33,4.4,mb,15,,,0.81,us,usp000a6r1,2014-11-07T01:11:46.413Z,"206 km W of Panguna, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2000-12-25T20:43:11.810Z,51.301,179.967,55.1,5,mb,147,,,0.96,us,usp000a6qy,2020-02-20T20:31:44.084Z,"244 km WSW of Adak, Alaska",earthquake,,6.8,,61,reviewed,us,us
2000-12-25T20:33:41.690Z,27.264,55.46,33,4.3,mb,17,,,1.04,us,usp000a6qx,2014-11-07T01:11:46.396Z,"81 km W of Bandar Abbas, Iran",earthquake,,,,4,reviewed,us,us
2000-12-25T19:27:48.520Z,-5.399,148.95,33,4.8,mb,9,,,1.46,us,usp000a6qw,2014-11-07T01:11:46.394Z,"111 km NW of Kandrian, Papua New Guinea",earthquake,,,,4,reviewed,us,us
2000-12-25T19:25:19.390Z,-5.174,148.354,33,4.4,mb,9,,,1.41,us,usp000a6qv,2014-11-07T01:11:46.393Z,"163 km NNE of Finschhafen, Papua New Guinea",earthquake,,,,1,reviewed,us,us
2000-12-25T19:04:33.940Z,-5.087,148.382,33,4.7,mb,27,,,1.01,us,usp000a6qt,2014-11-07T01:11:46.388Z,"173 km NNE of Finschhafen, Papua New Guinea",earthquake,,,,10,reviewed,us,us
