time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-12-25T11:06:55.830Z,35.815,141.115,37.5,4.3,mwr,32,126.9,,0.62,us,usp000e6uv,2014-11-07T01:27:56.577Z,"27 km ENE of Hasaki, Japan",earthquake,,,,,reviewed,us,nied
2005-12-25T02:02:08.980Z,36.897,135.31,378,4,mb,27,83.3,,0.46,us,usp000e6tj,2014-11-07T01:27:56.426Z,"106 km NW of Mikuni, Japan",earthquake,,4,,9,reviewed,us,us
2005-12-24T20:17:09.870Z,44.429,148.125,52.4,4.6,mb,19,135.6,,0.57,us,usp000e6sy,2014-11-07T01:27:56.367Z,"90 km SSE of Kuril’sk, Russia",earthquake,,17.8,,6,reviewed,us,us
2005-12-24T12:20:15.720Z,37.991,138.559,40,4.3,mb,28,78.5,,0.74,us,usp000e6sd,2014-11-07T01:27:56.288Z,"14 km SE of Ry?tsu-minato, Japan",earthquake,,,,5,reviewed,us,us
2005-12-24T08:09:48.470Z,44.95,149.3,98.6,4.6,mb,104,123.6,,0.72,us,usp000e6s1,2014-11-07T01:27:56.258Z,"116 km ESE of Kuril’sk, Russia",earthquake,,,,49,reviewed,us,us
2005-12-24T02:01:55.020Z,35.231,136.84,43,4.7,mwr,63,113.1,,,us,usp000e6rd,2020-07-08T02:00:09.919Z,"5 km ESE of Inazawa, Japan",earthquake,,,,,reviewed,jma,nied
2005-12-24T01:15:42.590Z,38.179,138.85,23.4,4.3,mb,8,161.5,,,us,usp000e6r8,2014-11-07T01:27:56.173Z,"35 km NNW of Niigata, Japan",earthquake,,,,2,reviewed,jma,us
2005-12-23T19:30:18.530Z,34.97,141.141,47.6,4.3,mb,13,135.2,,0.67,us,usp000e6qd,2014-11-07T01:27:56.032Z,"74 km ESE of ?hara, Japan",earthquake,,16.2,,3,reviewed,us,us
2005-12-23T15:50:41.870Z,43.209,145.647,106.7,4.4,mb,36,135,,0.7,us,usp000e6q0,2014-11-07T01:27:55.981Z,"14 km SSE of Nemuro, Japan",earthquake,,8.8,,15,reviewed,us,us
2005-12-23T14:48:16.490Z,41.721,141.386,127.5,4.4,mb,32,133.3,,0.75,us,usp000e6px,2014-11-07T01:27:55.975Z,"49 km NNE of Mutsu, Japan",earthquake,,7.6,,13,reviewed,us,us
2005-12-23T14:11:46.400Z,29.284,130.192,80.2,3.8,mb,12,149.1,,1.25,us,usp000e6pv,2014-11-07T01:27:55.972Z,"108 km SSW of Yudomari, Japan",earthquake,,13,,1,reviewed,us,us
2005-12-23T12:25:14.000Z,43.729,141.327,198.9,4.2,mb,33,132.6,,0.48,us,usp000e6pn,2014-11-07T01:27:55.958Z,"34 km SW of Rumoi, Japan",earthquake,,5.1,,12,reviewed,us,us
2005-12-23T11:32:28.410Z,37.708,141.842,100,3.9,mb,6,240.7,,0.38,us,usp000e6ph,2014-11-07T01:27:55.950Z,"78 km ENE of Namie, Japan",earthquake,,,,1,reviewed,us,us
2005-12-22T17:33:30.940Z,26.797,140.924,50.8,4.6,mb,22,95.7,,0.8,us,usp000e6mr,2014-11-07T01:27:55.782Z,"Bonin Islands, Japan region",earthquake,,16.8,,5,reviewed,us,us
2005-12-22T10:51:46.880Z,33.335,142.351,36.1,3.9,mwr,29,127.9,,0.73,us,usp000e6m3,2014-11-07T01:27:55.706Z,"274 km SE of Katsuura, Japan",earthquake,,,,,reviewed,us,nied
2005-12-22T05:35:06.520Z,33.356,142.403,38.9,4.6,mb,16,136.5,,0.67,us,usp000e6km,2014-11-07T01:27:55.669Z,"276 km SE of Katsuura, Japan",earthquake,,14.7,,1,reviewed,us,us
2005-12-22T04:19:39.720Z,24.973,122.967,129.2,4.3,mb,29,93.9,,0.76,us,usp000e6kf,2014-11-07T01:27:55.656Z,"56 km N of Yonakuni, Japan",earthquake,,5,,16,reviewed,us,us
2005-12-21T20:46:56.260Z,43.103,143.829,114.4,4.4,mwr,139,126,,0.67,us,usp000e6jy,2014-11-07T01:27:55.575Z,"46 km WNW of Kushiro, Japan",earthquake,,,,,reviewed,us,nied
2005-12-21T13:02:51.830Z,24.031,122.543,65.4,0,,10,141.1,,1.01,us,usp000e6j8,2014-11-07T01:27:55.475Z,"66 km SW of Yonakuni, Japan",earthquake,,11.9,,,reviewed,us,us
2005-12-21T02:58:14.490Z,24.686,122.229,45.2,4.4,mb,17,136.6,,0.7,us,usp000e6hj,2014-11-07T01:27:55.389Z,"48 km E of Yilan, Taiwan",earthquake,,15.3,,6,reviewed,us,us
2005-12-21T00:06:37.220Z,37.95,143.266,43.2,0,,8,217.2,,0.24,us,usp000e6hf,2014-11-07T01:27:55.385Z,"179 km ESE of Ishinomaki, Japan",earthquake,,59.1,,,reviewed,us,us
2005-12-20T22:58:03.740Z,37.92,143.311,28,5,mwc,95,129.2,,0.77,us,usp000e6hc,2016-11-10T01:16:04.266Z,"184 km ESE of Ishinomaki, Japan",earthquake,,,,,reviewed,us,hrv
2005-12-20T22:44:52.570Z,37.536,142.538,40.2,4.4,mb,16,156.5,,0.67,us,usp000e6hb,2014-11-07T01:27:55.348Z,"136 km E of Namie, Japan",earthquake,,9.7,,4,reviewed,us,us
2005-12-20T05:34:41.710Z,34.529,136.629,354.4,5,mwr,143,107.8,,0.72,us,usp000e6fv,2014-11-07T01:27:55.159Z,"8 km NW of Ise, Japan",earthquake,,,,,reviewed,us,nied
2005-12-19T16:31:05.250Z,26.573,140.851,35,4.2,mb,11,107.8,,1.09,us,usp000e6ey,2014-11-07T01:27:55.051Z,"Bonin Islands, Japan region",earthquake,,,,3,reviewed,us,us
2005-12-19T16:24:13.630Z,26.62,140.785,161.9,4.5,mwr,40,82.2,,1.35,us,usp000e6ex,2014-11-07T01:27:55.047Z,"Bonin Islands, Japan region",earthquake,,22.2,,,reviewed,us,nied
2005-12-19T14:56:52.690Z,26.764,140.741,38.6,4.9,mwc,88,51.5,,1.03,us,usp000e6er,2016-11-10T01:15:59.764Z,"Bonin Islands, Japan region",earthquake,,15.5,,,reviewed,us,hrv
