time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1990-02-07T15:32:30.870Z,32.633,142.095,33,4.3,mb,,,,0.5,us,usp000455z,2014-11-07T00:45:40.707Z,"Izu Islands, Japan region",earthquake,,,,1,reviewed,us,us
1990-02-09T03:57:04.660Z,33.957,138.813,33,4.2,mb,,,,0.9,us,usp000457u,2014-11-07T00:45:41.127Z,"80 km S of Shimoda, Japan",earthquake,,,,1,reviewed,us,us
1990-02-09T16:24:55.140Z,39.99,143.848,23,4.6,mb,,,,1.3,us,usp000458c,2014-11-07T00:45:41.252Z,"167 km ENE of Miyako, Japan",earthquake,,8,,6,reviewed,us,us
1990-02-09T22:30:23.520Z,26.972,140.315,436.4,5.2,mw,,,,0.8,us,usp000458u,2016-11-09T21:50:31.855Z,"Bonin Islands, Japan region",earthquake,,9.3,,,reviewed,us,hrv
1990-02-10T14:37:53.710Z,29.736,139.033,437.7,4.4,mb,,,,0.8,us,usp000459w,2014-11-07T00:45:42.080Z,"Izu Islands, Japan region",earthquake,,13.7,,8,reviewed,us,us
1990-02-11T17:46:06.170Z,36.331,140.916,46.4,5.7,mw,,,,0.9,us,usp00045bg,2022-04-28T19:58:33.353Z,"29 km E of ?arai, Japan",earthquake,,,,,reviewed,us,hrv
1990-02-11T18:50:23.730Z,40.355,140.734,131.5,4.5,mb,,,,0.9,us,usp00045bk,2014-11-07T00:45:42.761Z,"17 km ENE of ?date, Japan",earthquake,,6.3,,11,reviewed,us,us
1990-02-13T00:07:36.750Z,31.334,140.377,33,4.9,mb,,,,0.9,us,usp00045d8,2014-11-07T00:45:43.249Z,"Izu Islands, Japan region",earthquake,,,,8,reviewed,us,us
1990-02-13T08:04:53.670Z,36.274,141.148,40.7,4.9,mb,,,,1.2,us,usp00045df,2014-11-07T00:45:43.263Z,"50 km E of ?arai, Japan",earthquake,,,,23,reviewed,us,us
1990-02-13T17:07:38.960Z,40.287,142.579,33,4.1,mb,,,,0.7,us,usp00045du,2014-11-07T00:45:43.306Z,"89 km NE of Miyako, Japan",earthquake,,,,4,reviewed,us,us
1990-02-14T00:05:21.810Z,32.012,141.807,10,4.3,mb,,,,0.9,us,usp00045e5,2014-11-07T00:45:43.326Z,"Izu Islands, Japan region",earthquake,,,,6,reviewed,us,us
1990-02-15T04:39:01.590Z,41.294,142.248,33,4.6,mb,,,,1.3,us,usp00045ff,2014-11-07T00:45:43.451Z,"86 km E of Mutsu, Japan",earthquake,,,,11,reviewed,us,us
1990-02-17T01:04:10.020Z,33.507,141.085,33,5,mb,,,,1.3,us,usp00045hq,2014-11-07T00:45:45.437Z,"off the east coast of Honshu, Japan",earthquake,,,,11,reviewed,us,us
1990-02-17T02:28:01.820Z,29.533,130.732,65.9,6.1,mw,,,,1.1,us,usp00045hx,2022-04-28T19:59:00.116Z,"80 km SSE of Koshima, Japan",earthquake,,,,,reviewed,us,hrv
1990-02-17T12:31:37.150Z,41.635,144.09,30.9,5,mb,,,,1,us,usp00045je,2014-11-07T00:45:45.561Z,"150 km S of Kushiro, Japan",earthquake,,,,39,reviewed,us,us
1990-02-17T12:38:56.920Z,41.728,144.033,29.7,4.8,mb,,,,1.2,us,usp00045jf,2014-11-07T00:45:45.567Z,"141 km SSW of Kushiro, Japan",earthquake,,,,11,reviewed,us,us
1990-02-17T18:15:54.540Z,36.457,137.661,10,4.4,mb,,,,1.1,us,usp00045jr,2014-11-07T00:45:45.584Z,"19 km WSW of ?machi, Japan",earthquake,,,,2,reviewed,us,us
1990-02-17T20:14:59.080Z,36.416,137.787,10,4.1,ms,,,,1.1,us,usp00045k1,2014-11-07T00:45:45.621Z,"11 km SW of ?machi, Japan",earthquake,,,,1,reviewed,us,us
1990-02-20T00:47:09.610Z,29.288,142.434,33,4.6,mb,,,,0.8,us,usp00045nt,2014-11-07T00:45:46.849Z,"Izu Islands, Japan region",earthquake,,,,1,reviewed,us,us
1990-02-20T06:53:39.890Z,34.706,139.252,14.2,6.4,mw,,,,1.3,us,usp00045p0,2022-04-28T19:59:24.157Z,"28 km E of Shimoda, Japan",earthquake,,,,,reviewed,us,hrv
1990-02-20T07:17:51.810Z,34.595,139.243,11.4,5,mb,,,,1.2,us,usp00045p2,2014-11-07T00:45:47.031Z,"28 km ESE of Shimoda, Japan",earthquake,,,,18,reviewed,us,us
1990-02-20T09:48:29.560Z,34.546,139.212,10,4.2,mb,,,,1.3,us,usp00045p6,2014-11-07T00:45:47.062Z,"28 km ESE of Shimoda, Japan",earthquake,,,,2,reviewed,us,us
1990-02-20T15:40:02.980Z,36.412,137.717,10,4.1,mb,,,,1.3,us,usp00045pn,2014-11-07T00:45:47.112Z,"16 km SW of ?machi, Japan",earthquake,,,,1,reviewed,us,us
1990-02-20T15:52:26.120Z,36.475,137.68,5,4.2,mb,,,,0.8,us,usp00045pp,2014-11-07T00:45:47.114Z,"16 km W of ?machi, Japan",earthquake,,,,1,reviewed,us,us
1990-02-21T03:19:50.430Z,34.383,139.454,33,4.6,mb,,,,1.2,us,usp00045qm,2014-11-07T00:45:47.198Z,"56 km SE of Shimoda, Japan",earthquake,,,,9,reviewed,us,us
1990-02-21T14:10:46.820Z,29.253,142.22,42.1,4.7,mb,,,,0.9,us,usp00045r4,2014-11-07T00:45:47.230Z,"Izu Islands, Japan region",earthquake,,,,9,reviewed,us,us
1990-02-21T14:15:45.770Z,44.143,142.278,33,5.1,mb,,,,0.8,us,usp00045r5,2014-11-07T00:45:47.234Z,"27 km SSW of Nayoro, Japan",earthquake,,,,3,reviewed,us,us
1990-02-23T10:43:48.320Z,27.959,139.939,505.8,4,mb,,,,0.4,us,usp00045tt,2014-11-07T00:45:47.562Z,"Bonin Islands, Japan region",earthquake,,15.7,,9,reviewed,us,us
1990-02-25T10:30:42.110Z,42.345,142.452,33,4.6,mb,,,,0.9,us,usp00045wn,2014-11-07T00:45:47.809Z,"7 km E of Shizunai-furukawach?, Japan",earthquake,,,,3,reviewed,us,us
1990-02-26T00:31:24.180Z,25.336,142.367,33,4.9,mb,,,,0.7,us,usp00045xe,2014-11-07T00:45:47.905Z,"Volcano Islands, Japan region",earthquake,,,,6,reviewed,us,us
1990-03-01T21:40:58.940Z,30.614,131.099,57.5,5.3,mw,,,,1.2,us,usp000462g,2022-04-28T19:54:03.625Z,"16 km SE of Nishinoomote, Japan",earthquake,,8.4,,,reviewed,us,hrv
1990-03-02T15:07:29.630Z,36.133,139.964,68,4.9,mb,,,,1,us,usp000463e,2014-11-07T00:45:51.204Z,"1 km N of Ishige, Japan",earthquake,,4.9,,7,reviewed,us,us
